Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
Oblex Spawn,Tiny,ooze,lawful evil,13,18,20 ft.,8,16,15,14,11,10,"Int, Cha",,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,,1/4,"Amorphous, Aversion to Fire",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Oblex, Adult",Medium,ooze,lawful evil,14,75,20 ft.,8,19,16,19,12,15,"Int, Cha","Deception, Perception, Arcana, History, Nature, Religion","Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,"Common, Any",5,"Amorphous, Aversion to Fire, Innate Spellcasting, Sulfurous Impersonation",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Oblex, Elder",Huge,ooze,lawful evil,16,115,20 ft.,15,16,21,22,13,18,"Int, Cha","Arcana, Deception, History, Nature, Perception, Religion","Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,"Common, Any",10,"Amorphous, Aversion to Fire, Innate Spellcasting, Sulfurous Impersonation",Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre,Large,giant,chotic evil,11,59,40 ft.,19,8,16,5,7,7,,,,Darkvision 60,"Common, Giant",2,,Monster Manual,,Wizards of the Coast
Ogre Battering Ram,Large,giant,chotic evil,14,59,40 ft.,19,8,16,5,7,7,,,,Darkvision 60,"Common, Giant",4,Siege Monster,Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre Bolt Launcher,Large,giant,chotic evil,13,59,40 ft.,19,12,16,5,7,7,,,,Darkvision 60,"Common, Giant",2,,Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre Chain Brute,Large,giant,chotic evil,11,59,40 ft.,19,8,16,5,7,7,,,,Darkvision 60,"Common, Giant",3,,Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre Howdah,Large,giant,chotic evil,13,59,40 ft.,19,8,16,5,7,7,,,,Darkvision 60,"Common, Giant",2,Howdah,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Ogre, Half",Large,giant,ANY CHAOTIC,12,30,30 ft.,17,10,14,7,9,10,,,,Darkvision 60,"Common, Giant",1,,Monster Manual,,Wizards of the Coast
Oni,Large,giant,lawful evil,16,110,"30 ft., fly 30 ft.",19,11,16,14,12,15,"Dex, Con, Wis, Cha","Arcana, Deception, Perception",,Darkvision 60,"Common, Giant",7,"Innate Spellcasting, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
Ooze Master,Huge,undead,lawful evil,9,138,"30 ft., climb 30 ft.",16,1,20,17,10,16,"Int, Wis","Arcana, Insight","Lightningres, necroticres, nonmagicalres, acidimmu, coldimmu, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu",Blindsight 120,"Common, Primordial, Thayan",10,"Corrosive Form, Instinctive Attack, Normal Spellcasting, Spider Climb",Tales from the Yawning Portal,,Wizards of the Coast
"Ooze, Black Pudding",Large,ooze,unaligned,7,85,"20 ft., climb 20 ft.",16,5,16,1,6,1,,,"Acidimmu, coldimmu, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,,4,"Amorphous, Corrosive Form, Spider Climb",Monster Manual,,Wizards of the Coast
"Ooze, Gelatinous Cube",Large,ooze,unaligned,6,84,15 ft.,14,3,20,1,6,1,,,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,,2,"Ooze Cube, Transparent",Monster Manual,,Wizards of the Coast
"Ooze, Gray",Medium,ooze,unaligned,8,22,"10 ft., climb 10 ft.",12,6,16,1,6,2,,Stealth,"Acidres, coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,,1/2,"Amorphous, Corrode Metal, False Appearance",Monster Manual,,Wizards of the Coast
"Ooze, Ochre Jelly",Large,ooze,unaligned,8,45,"10 ft., climb 10 ft.",15,6,14,2,6,1,,,"Acidres, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,,2,"Amorphous, Spider Climb",Monster Manual,,Wizards of the Coast
Orc,Medium,humanoid,chotic evil,13,15,30 ft.,16,12,16,7,11,10,,Intimidation,,Darkvision 60,"Common, Orc",1/2,Aggressive,Monster Manual,,Wizards of the Coast
Orc Blade of Ilneval,Medium,humanoid (orc),chotic evil,18,60,30 ft.,17,11,17,10,12,14,Wis,"Perception, Insight, Intimidation",,Darkvision 60,"Common, Orc",4,"Aggressive, Foe Smiter of Ilneval",Volo's Guide to Monsters,,Wizards of the Coast
Orc Claw of Luthic,Medium,humanoid (orc),chotic evil,14,45,30 ft.,14,15,16,10,15,11,,"Intimidation, Medicine, Survival",,Darkvision 60,"COmmon, Orc",2,"Aggressive, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Orc Eye of Gruumsh,Medium,humanoid,chotic evil,16,45,30 ft.,16,12,16,9,13,12,,"Intimidation, Religion",,Darkvision 60,"Common, Orc",2,"Aggressive, Gruumsh's Fury, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Orc Hand of Yurtrus,Medium,humanoid (orc),chotic evil,12,30,30 ft.,12,11,16,11,14,9,,"Arcana, Intimidation, Medicine, Religion",,Darkvision 60,"Common, Orc",2,"Aggressive, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Orc Nurtured One of Yurtrus,Medium,humanoid (orc),chotic evil,9,30,30 ft.,15,8,16,7,11,7,,,,Darkvision 60,"Common, Orc",1/2,"Aggressive, Corrupted Carrier, Nurtured One of Yurtrus",Volo's Guide to Monsters,,Wizards of the Coast
Orc Red Fang of Shargaas,Medium,humanoid (orc),chotic evil,15,52,30 ft.,11,16,15,9,11,9,,"Intimidation, Perception, Stealth",,Darkvision 60,"Common, Orc",3,"Cunning Action, Hand of Shargaas, Shargaas' Sight, Slayer",Volo's Guide to Monsters,,Wizards of the Coast
Orc War Chief,Medium,humanoid,chotic evil,16,93,30 ft.,18,12,18,11,11,16,"Str, Con, Wis",Intimidation,,Darkvision 60,"Common, Orc",4,"Aggressive, Gruumsh's Fury",Monster Manual,,Wizards of the Coast
"Orc, Orog",Medium,humanoid,chotic evil,18,42,30 ft.,18,12,18,12,11,12,,"Intimidation, Survival",,Darkvision 60,"Common, Orc",2,Aggressive,Monster Manual,,Wizards of the Coast
"Orc, Tanarukk",Medium,"fiend (demon,orc)",chotic evil,14,95,30 ft.,18,13,20,9,9,9,,"Intimidation, Perception","FIreres, poisonres",Darkvision 60,"Abyssal, Common, Orc",5,"Aggressive, Magic Resistance",Volo's Guide to Monsters,,Wizards of the Coast
Otyugh,Large,aberration,neutral,14,114,30 ft.,16,11,19,6,13,6,Con,,,Darkvision 120,Own,5,Limited Telepathy,Monster Manual,,Wizards of the Coast
Owlbear,Large,monstrosity,unaligned,13,59,40 ft.,20,12,17,3,12,7,,Perception,,Darkvision 60,,3,"Keen Sight, Keen Smell",Monster Manual,,Wizards of the Coast
Pegasus,Large,celestial,chaotic good,12,59,"60 ft., fly 90 ft.",18,15,16,10,15,13,"Dex, Wis, Cha",Perception,,Normal,"Celestial, Common, Elvish, Sylvan",2,,Monster Manual,,Wizards of the Coast
Peryton,Medium,monstrosity,chotic evil,13,33,"20 ft., fly 60 ft.",16,12,13,9,12,10,,Perception,Nonmagicalres,Normal,"Common, Elvish",2,"Dive Attack, Flyby, Keen Sight, Keen Smell",Monster Manual,,Wizards of the Coast
Phantom Warrior,Medium,undead,ANY,16,45,30 ft.,16,11,16,8,10,15,,"Perception, Stealth","Nonmagicalres, coldimmu, necroticimmu, poisonimmu",Darkvision 60,Any,3,"Ethereal Sight, Incorporeal Movement, Spectral Armor and Shield",Curse of Strahd,,Wizards of the Coast
Piercer,Medium,monstrosity,unaligned,15,22,"5 ft., climb 5 ft.",10,13,16,1,7,3,,Stealth,,"Blindsight 30, darkvision 60",,1/2,"False Appearance, Spider Climb",Monster Manual,,Wizards of the Coast
Pixie,Tiny,fey,neutral good,15,1,"10 ft., fly 30 ft.",2,20,8,10,14,15,,"Perception, Stealth",,Normal,Sylvan,1/4,"Magic Resistance, Innate Spellcasting (Psionics)",Monster Manual,,Wizards of the Coast
"Prince of Apocalypse, Imix",Huge,elemental,neutral evil,17,325,"50 ft., fly 50 ft.",19,24,22,15,16,23,"Dex, Con, Cha",,"Nonmagicalres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Blindsight 120,"Common, Ignan",19,"Empowered Attacks, Fire Aura, Fire Form, Illumination, Legendary Resistance, Innate Spellcasting, Magic Resistance, Lair",Princes of the Apocalypse,,Wizards of the Coast
"Prince of Apocalypse, Ogremoch",Gargantuan,elemental,neutral evil,20,526,"50 ft., burrow 50 ft.",26,11,28,11,15,22,"Str, Con, Wis",,"Nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu","Blindsight 120, tremorsense 120","Common, Terran",20,"Empowered Attacks, Innate Spellcasting, Legendary Resistance, Magic Resistance, Siege Monster, Lair",Princes of the Apocalypse,,Wizards of the Coast
"Prince of Apocalypse, Olhydra",Huge,elemental,neutral evil,18,324,"50 ft., swim 100 ft.",21,22,24,17,18,23,"Str, Con, Wis",,"Lightningres, nonmagicalres, acidimmu, coldimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Blindsight 120,Aquan,18,"Empowered Attacks, Innate Spellcasting, Legendary Resistance, Water Form, Lair",Princes of the Apocalypse,,Wizards of the Coast
"Prince of Apocalypse, Yan-C-BIn",Huge,elemental,neutral evil,22,283,"50 ft., fly 150 ft.",18,24,24,16,21,23,"Dex, Wis, Cha",,"Coldres, fireres, nonmagicalres, lightningimmu, poisonimmu, thunderimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Blindsight 120,Auran,18,"Air Form, Empowered Attacks, Innate Spellcasting, Legendary Resistance, Magic Resistance, Lair",Princes of the Apocalypse,,Wizards of the Coast
Pseudodragon,Tiny,dragon,neutral good,13,7,"15 ft., fly 60 ft.",6,15,13,10,12,10,,"Perception, Stealth",,"Blindsight 10, darkvision 60","Common, Draconic",1/4,"Keen Senses, Magic Resistance, Limited Telepathy",Monster Manual,,Wizards of the Coast
Pterafolk,Large,monstrosity,neutral evil,12,26,"30 ft., fly 50 ft.",15,13,12,9,10,11,,"Perception, Survival",,Normal,Common,1,Terror Dive,Tomb of Annihilation,,Wizards of the Coast
Purple Worm,Gargantuan,monstrosity,unaligned,18,247,"50 ft., burrow 30 ft.",28,7,22,1,8,4,"Con, Wis",,,"Blindsight 30, tremorsense 60",,15,Tunneler,Monster Manual,,Wizards of the Coast
"Purple Worm, Wormling",Large,monstrosity,unaligned,12,42,20 ft.,16,7,16,1,6,2,,,,"Blindsight 30, tremorsense 30",,2,,Storm King's Thunder,,Wizards of the Coast
Quaggoth,Medium,humanoid,chaotic neutral,13,45,"30 ft., climb 30 ft.",17,12,16,6,12,7,,Athletics,"Poisonimmu, poisonedimmu",Darkvision 120,Undercommon,2,Wounded Fury,Monster Manual,,Wizards of the Coast
Quickling,Tiny,fey,chotic evil,16,10,120 ft.,4,23,13,10,12,7,,"Acrobatics, Sleight of Hand, Stealth, Perception",,Darkvision 60,"Common, Sylvan",1,"Blurred Movement, Evasion",Volo's Guide to Monsters,,Wizards of the Coast
Rakshasa,Medium,fiend,lawful evil,16,110,40 ft.,14,17,18,13,16,20,,"Deception, Insight","Magicalpiercingweak, nonmagicalres",Darkvision 60,"Common, Infernal",13,"Limited Magic Immunity, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Redcap,Small,fey,chotic evil,13,45,25 ft.,18,13,18,10,12,9,,"Athletics, Perception",,Darkvision 60,"Common, Sylvan",3,"Iron Boots, Outsize Strength",Volo's Guide to Monsters,,Wizards of the Coast
Remorhaz,Huge,monstrosity,unaligned,17,195,"30 ft., burrow 20 ft.",24,13,21,4,10,5,,,"Coldimmu, fireimmu","Darkvision 60, tremorsense 60",,11,Heated Body,Monster Manual,,Wizards of the Coast
"Remorhaz, Young",Large,monstrosity,unaligned,14,93,"30 ft., burrow 20 ft.",18,13,17,3,10,4,,,"Coldimmu, fireimmu","Darkvision 60, tremorsense 60",,5,Heated Body,Monster Manual,,Wizards of the Coast
Retriever,Large,construct,lawful evil,19,210,"40 ft., climb 40 ft.",22,16,20,3,11,4,"Dex, Con, Wis","Perception, Stealth","Necroticimmu, poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu","Blindsight 30, darkvision 60","Abyssal, Elvish, Undercommon",14,"Faultless Tracker, Innate Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Revenant,Medium,undead,neutral,13,136,30 ft.,18,14,18,13,16,18,"Str, Con, Wis, Cha",,"Necroticres, psychicres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, stunnedimmu",Darkvision 60,Any,5,"Regeneration, Rejuvenation, Turn Immunity, Vengeful Tracker",Monster Manual,,Wizards of the Coast
Roc,Gargantuan,monstrosity,unaligned,15,248,"20 ft., fly 120 ft.",28,10,20,3,10,9,"Dex, Con, Wis, Cha",Perception,,Normal,,11,Keen Sight,Monster Manual,,Wizards of the Coast
Roper,Large,monstrosity,neutral evil,20,93,"10 ft., climb 10 ft.",18,8,17,7,16,6,,"Perception, Stealth",,Darkvision 60,,5,"False Appearance, Grasping Tendrils, Spider Climb",Monster Manual,,Wizards of the Coast
Rust Monster,Medium,monstrosity,unaligned,14,27,40 ft.,13,12,13,2,13,6,,,,Darkvision 60,,1/2,"Iron Scent, Rust Metal",Monster Manual,,Wizards of the Coast
Sahuagin,Medium,humanoid,lawful evil,12,22,"30 ft., swim 40 ft.",13,11,12,12,13,9,,Perception,,Darkvision 120,Own,1/2,"Blood Frenzy, Limited Amphibious, Shark Telepathy",Monster Manual,,Wizards of the Coast
Sahuagin Baron,Large,humanoid,lawful evil,16,76,"30 ft., swim 50 ft.",19,15,16,14,13,17,"Dex, Con, Int, Wis",Perception,,Darkvision 120,Own,5,"Blood Frenzy, Limited Amphibious, Shark Telepathy",Monster Manual,,Wizards of the Coast
Sahuagin Priestess,Medium,humanoid,lawful evil,12,33,"30 ft., swim 40 ft.",13,11,12,12,14,13,,"Perception, Religion",,Darkvision 120,Own,2,"Blood Frenzy, Limited Amphibious, Shark Telepathy, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Salamander,Large,elemental,neutral evil,15,90,30 ft.,18,14,15,11,10,12,,,"Coldweak, nonmagicalres, fireimmu",Darkvision 60,Ignan,5,Heated Body,Monster Manual,,Wizards of the Coast
"Salamander, Fire Snake",Medium,elemental,neutral evil,14,22,30 ft.,12,14,11,7,10,8,,,"Coldweak, nonmagicalres, fireimmu",Darkvision 60,Ignan,1,"Heated Body, Heated Weapons",Monster Manual,,Wizards of the Coast
"Salamander, Frost",Huge,elemental,unaligned,17,168,"60 ft., burrow 40 ft., climb 40 ft.",20,12,18,7,11,7,"Con, Wis",Perception,"Fireweak, coldimmu","Darkvision 60, tremorsense 60",Primordial,9,Burning Fury,Mordenkainen's Tome of Foes,,Wizards of the Coast
Satyr,Medium,fey,chaotic neutral,14,31,40 ft.,12,16,11,12,10,14,,"Perception, Performance, Stealth",,Normal,"Common, Elvish, Sylvan",1/2,Magic Resistance,Monster Manual,,Wizards of the Coast
Scarecrow,Medium,construct,chotic evil,11,36,30 ft.,11,13,11,10,10,13,,,"Fireweak, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, unconsciousimmu",Darkvision 60,Creator,1,False Appearance,Monster Manual,,Wizards of the Coast
Sea Lion,Large,monstrosity,unaligned,15,90,"10 ft., swim 40 ft.",17,15,15,3,12,8,,"Perception, Stealth",,Normal,,5,"Amphibious, Keen Smell, Pack Tactics, Swimming Leap",Tales from the Yawning Portal,,Wizards of the Coast
Sea Spawn,Medium,humanoid,neutral evil,11,32,"20 ft., swim 30 ft.",15,8,15,6,10,8,,,,Darkvision 120,"Aquan, Common",1,Limited Amphibiousness,Volo's Guide to Monsters,,Wizards of the Coast
Shadar-Kai Gloom Weaver,Medium,humanoid (elf),neutral,14,104,30 ft.,11,18,14,15,12,18,"Dex, Con",,"Necroticimmu, charmedimmu, exhaustionimmu",Darkvision 60,"Common, Elvish",9,"Burden of Time, Fey Ancestry, Innate Spellcasting, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Shadar-Kai Shadow Dancer,Medium,humanoid (elf),neutral,15,71,30 ft.,12,16,13,11,12,12,"Dex, Cha",Stealth,"Necroticimmu, charmedimmu, exhaustionimmu",Darkvision 60,"Common, Elvish",7,"Fey Ancestry, Shadow Jump",Mordenkainen's Tome of Foes,,Wizards of the Coast
Shadar-Kai Soul Monger,Medium,humanoid (elf),neutral,15,123,30 ft.,8,17,14,19,15,13,"Dex, Wis, Cha",Perception,"Necroticimmu, psychicimmu, charmedimmu, exhaustionimmu, frightenedimmu",Darkvision 60,"Common, Elvish",11,"Fey Ancestry, Innate Spellcasting, Magic Resistance, Soul Thirst, Weight of Ages",Mordenkainen's Tome of Foes,,Wizards of the Coast
Shadow,Medium,undead,chotic evil,12,16,40 ft.,6,14,13,6,10,8,,Stealth,"Radiantweak, acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,,1/2,"Amorphous, Shadow Stealth, Sunlight Weakness",Monster Manual,,Wizards of the Coast
Shadow Dragon Template,VARIES,dragon,chotic evil,18,TEMP,TEMP ft.,23,10,21,14,11,19,Temp,TEMP,TEMP,TEMp,TEMp,13,TEMP,Monster Manual,,Wizards of the Coast
Shadow Mastiff,Medium,monstrosity,neutral evil,12,33,40 ft.,16,14,13,5,12,5,,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,,2,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",Volo's Guide to Monsters,,Wizards of the Coast
Shadow Mastiff Alpha,Medium,monstrosity,neutral evil,12,48,40 ft.,16,14,13,6,12,5,,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,,2,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",Volo's Guide to Monsters,,Wizards of the Coast
Shambling Mound,Large,plant,unaligned,15,136,"20 ft., swim 20 ft.",18,8,16,5,10,5,,Stealth,"Coldres, fireres, lightningimmu, blindedimmu, deafenedimmu, exhaustionimmu",Blindsight 60,,5,Lightning Absorption,Monster Manual,,Wizards of the Coast
Shield Guardian,Large,construct,unaligned,17,142,30 ft.,18,8,18,7,1,,,,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu","Blindsight 10, darkvision 60",Any,7,"Bound, Regeneration, Spell Storing",Monster Manual,,Wizards of the Coast
Siren,Medium,fey,chaotic good,14,38,"30 ft., swim 30 ft.",10,18,12,13,14,16,,"Medicine, Nature, Stealth, Survival",,Darkvision 60,"Common, Elvish, Sylvan",3,"Amphibious, INnate Spellcasting, Magic Resistance",Tales from the Yawning Portal,,Wizards of the Coast
Skeleton,Medium,undead,lawful evil,13,13,30 ft.,10,14,15,6,8,5,,,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,1/4,,Monster Manual,,Wizards of the Coast
"Skeleton, Giant",Huge,undead,neutral evil,17,115,30 ft.,21,10,20,4,6,6,,,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Giant,7,"Evasion, Magic Resistance, Turn Immunity",Tales from the Yawning Portal,,Wizards of the Coast
"Skeleton, Minotaur",Large,undead,lawful evil,12,67,40 ft.,18,11,15,6,8,5,,,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Abyssal,2,Charge,Monster Manual,,Wizards of the Coast
"Skeleton, Warhorse",Large,undead,lawful evil,13,22,60 ft.,18,12,15,2,8,5,,,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,,1/2,,Monster Manual,,Wizards of the Coast
Skulk,Medium,humanoid,chaotic neutral,14,18,30 ft.,6,19,10,10,7,1,Con,Stealth,"Radiantimmu, blindedimmu",Darkvision 120,Common,1/2,"Fallible Invisibility, Trackless",Mordenkainen's Tome of Foes,,Wizards of the Coast
Skull Lord,Medium,undead,lawful evil,18,105,30 ft.,14,16,17,16,15,21,,"Athletics, History, Perception, Stealth","Coldres, necroticres, nonmagicalres, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, exhuastionimmu, frightenedimmu, poisonedimmu, stunnedimmu, unconsciousimmu","Legendary Resistance, Master of the Grave, Evasion, Normal Spellcasting",Any,15,"Legendary Resistance, Master of the Grave, Evasion, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Slaad Tadpole,Tiny,aberration,chaotic neutral,12,10,30 ft.,7,15,10,3,5,3,,Stealth,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,Own,1/8,Magic Resistance,Monster Manual,,Wizards of the Coast
"Slaad, Blue",Large,aberration,chaotic neutral,15,123,30 ft.,20,15,18,7,7,9,,Perception,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,"Own, telepathy 60",7,"Magic Resistance, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Death",Medium,aberration,chotic evil,18,170,30 ft.,20,15,19,15,10,16,,"Arcana, Perception","Acidres, coldres, fireres, lightningres, thunderres","Blindsight 60, darkvision 60","Own, telepathy 60",10,"Shapechanger, Innate Spellcasting, Magic Resistance, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Gray",Medium,aberration,chaotic neutral,18,127,30 ft.,17,17,16,13,8,14,,"Arcana, Perception","Acidres, coldres, fireres, lightningres, thunderres","Blindsight 60, darkvision 60","Own, telepathy 60",9,"Shapechanger, Innate Spellcasting, Magic Resistance, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Green",Large,aberration,chaotic neutral,16,127,30 ft.,18,15,16,11,8,12,,"Arcana, Perception","Acidres, coldres, fireres, lightningres, thunderres","Blindsight 30, darkvision 60","Own, telepathy 60",8,"Shapechanger, Innate Spellcasting, Magic Resistance, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Red",Large,aberration,chaotic neutral,14,93,30 ft.,16,12,16,6,6,7,,Perception,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,"Own, telepathy 60",5,"Magic Resistance, Regeneration",Monster Manual,,Wizards of the Coast
Slithering Tracker,Medium,ooze,chotic evil,14,32,"30 ft., climb 30 ft., swim 30 ft.",16,19,15,10,14,11,,Stealth,"COldweak,fireweak, nonmagicalres, blindedimmu, deafenedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, unconsciousimmu",Blindsight 120,Any,3,"Ambusher, Damage Transfer, False Appearance, Keen Tracker, Liquid Form, Spider Climb, Watery Stealth",Volo's Guide to Monsters,,Wizards of the Coast
"Sorrowsworn, The Angry",Medium,monstrosity,neutral evil,18,255,30 ft.,17,10,19,8,13,6,,Perception,Darknessres,Darkvision 60,Common,13,"Two Heads, Rising Anger",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Hungry",Medium,monstrosity,neutral evil,17,225,30 ft.,19,10,17,6,11,6,,,Darknessres,Darkvision 60,Common,11,Life Hunger,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Lonely",Medium,monstrosity,neutral evil,16,112,30 ft.,16,12,17,6,11,6,,,Darknessres,Darkvision 60,Common,9,"Psychic Leech, Thrives on Company",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Lost",Medium,monstrosity,neutral evil,15,78,30 ft.,17,12,15,6,7,5,,Athletics,Darknessres,Darkvision 60,Common,7,,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Wretched",Small,monstrosity,neutral evil,15,10,40 ft.,7,12,9,5,6,5,,,Darknessres,Darkvision 60,,1/4,Wretched Pack Tactics,Mordenkainen's Tome of Foes,,Wizards of the Coast
Spawn of Kyuss,Medium,undead,chotic evil,10,76,30 ft.,16,11,18,5,7,3,Wis,,"Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,5,"Regeneration, Worms",Volo's Guide to Monsters,,Wizards of the Coast
Specter,Medium,undead,chotic evil,12,22,fly 50 ft.,1,14,11,10,10,11,,,"Acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Any,1,"Incorporeal Movement, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
"Sphinx, Andro",Large,monstrosity,lawful neutral,17,199,"40 ft., fly 60 ft.",22,10,20,16,18,23,"Dex, Con, Int, Wis","Arcana, Perception, Religion","Psychicimmu, nonmagicalimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",17,"Inscrutable, Magic Weapons, Normal Spellcasting, Lair, Legendary",Monster Manual,,Wizards of the Coast
"Sphinx, Gyno",Large,monstrosity,lawful neutral,17,136,"40 ft., fly 60 ft.",18,15,16,18,18,18,,"Arcana, History, Perception, Religion","Nonmagicalres, psychicimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",11,"Inscrutable, Magic Weapons, Normal Spellcasting, Legendary, Lair",Monster Manual,,Wizards of the Coast
Spore Servant Template,TEMP,plant,unaligned,TEMP,TEMP,TEMP ft.,17,12,16,2,6,1,Temp,TEMP,TEMP,TEMP,TEMP,TEMP,,Monster Manual,,Wizards of the Coast
Sprite,Tiny,fey,neutral good,15,2,"10 ft., fly 40 ft.",3,18,10,14,13,11,,"Perception, Stealth",,Normal,"Common, Elvish, Sylvan",1/4,,Monster Manual,,Wizards of the Coast
Star Spawn Grue,Small,aberration,neutral evil,11,17,30 ft.,6,13,10,9,11,6,,,Psychicimmu,Darkvision 60,Deep Speech,1/4,Aura of Madness,Mordenkainen's Tome of Foes,,Wizards of the Coast
Star Spawn Hulk,Large,aberration,chotic evil,16,136,30 ft.,20,8,21,7,12,9,"Dex, Wis",Perception,"Nonmagicalres, charmedimmu, frightenedimmu",Darkvision 60,Deep Speech,10,Psychic Mirror,Mordenkainen's Tome of Foes,,Wizards of the Coast
Star Spawn Larva Mage,Medium,aberration,chotic evil,16,168,30 ft.,17,12,23,18,12,16,"Dex, Wis, Cha",Perception,"Coldres, nonmagicalres, psychicimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, restrainedimmu",Darkvision 60,Deep Speech,16,"Innate Spellcasting, Return to Worms, Legendary",Mordenkainen's Tome of Foes,,Wizards of the Coast
